B	be,63 by,27
BD	bad,10
BDGT	budget,1
BDMNTN	badminton,1
BDRM	bedroom,2
BFR	before,42
BFSKT	obfuscate,1
BFSKTN	obfuscation,1
BG	big,3
BGN	begin,2
BGNR	beginner,2
BGS	bugs,2
BJKT	object,12
BK	back,8
BKDR	backdoor,3
BKFL	backfill,1
BKGRND	background,9
BKM	become,2
BKMNG	becoming,2
BKMS	becomes,1
BKP	backup,3
BKS	because,25
BKSNG	boxing,1
BKVRD	backward,1
BLD	build,53 blood,6
BLDNG	building,11 bleeding,1
BLDR	builder,16
BLDS	builds,1
BLF	bluff,1
BLK	block,28 black,2 billhook,1
BLKD	blocked,2
BLKL	blockly,1
BLKML	blackmail,6
BLKN	balcony,6
BLKNG	blocking,4
BLKR	blocker,1
BLKS	blocks,1
BLM	blame,2
BLMNG	blaming,1
BLN	billion,2
BLNDR	blender,1
BLNK	blank,2
BLNR	billionaire,1
BLNS	balance,14
BLT	balti,4 built,4 ability,2 bloat,1
BLTD	bloated,1
BLTPRF	bulletproof,1
BLV	believe,6 below,1 blow,1
BN	been,6
BNC	bunch,3 bench,1
BND	band,2 banned,2
BNDG	bandage,1
BNDL	bundle,5
BNDR	boundary,4
BNFT	benefit,1
BNG	being,6 buying,1
BNK	bank,70 bunk,1
BNKNG	banking,1
BNKRPT	bankrupt,2
BNR	binary,2 baner,1
BNS	bonus,3 bones,1
BPLR	bipolar,1
BPS	bypass,4
BRD	board,5 bread,3
BRDBRD	breadboard,1
BRDGS	bridges,1
BRDNG	boarding,11
BRGN	bargain,2
BRGND	bargained,1
BRGR	burger,9
BRK	break,42 broke,3
BRKDVN	breakdown,1
BRKN	broken,7
BRKNG	breaking,2
BRKP	breakup,11
BRKR	broker,9
BRKS	breaks,1
BRKTR	breakthrough,1
BRN	brain,3 burn,3
BRNC	branch,30
BRNG	bring,3 boarring,1 boring,1
BRNGNG	bringing,1
BRS	brush,3 birse,1
BRT	birth,2
BRTD	birthday,33
BRTR	brother,2
BRTS	british,1
BRV	brew,5
BRVN	brown,1 brownie,1
BRVR	braver,1
BRVS	browse,1
BRVSR	browser,47
BSD	based,8 baised,2
BSK	basic,6
BSKS	basics,1
BSKT	biscuit,8 bisect,2
BSLT	absolute,1
BSLTL	absolutely,1
BSN	obsession,1
BSNS	business,66 businesses,2
BSRV	observe,1
BSRVD	observed,1
BSRVR	observer,4
BST	best,6
BSTRD	bastard,1
BSTRKTN	abstraction,2
BT	but,272 about,43 both,6
BTC	batch,7
BTL	bottle,10
BTM	bottom,1
BTN	button,20
BTNG	beating,2
BTR	better,15 battery,6 bother,1
BTRM	bathroom,106
BTS	beats,1
BTVN	between,1
BV	above,1
BVL	bowl,1
BVS	obvious,1
BVSL	obviously,1
C	each,3
CKD	checked,1
CKDR	chokidar,1
CKLT	chocolate,10
CKMT	checkmate,4
CKN	chicken,14
CKNG	checking,3
CKT	checkout,3
CLD	child,1
CLDRN	children,16
CLNG	challenge,1
CLNGNG	challenging,1
CLSTRL	cholesterol,1
CML	chamal,1
CMSTR	chemistry,2
CNG	change,102
CNGNG	changing,1
CNGS	changes,26
CNL	channel,3
CNS	chance,9 chinese,4
CPR	cheaper,1
CPS	chips,9
CRFL	cheerful,1
CRG	charge,43
CRGNG	charging,3
CRGR	charger,13
CRKTR	character,1
CRM	chrome,2 chromium,1
CVK	chowk,1
D	do,44 did,29 day,17
DBL	double,12 edible,1
DBT	doubt,1
DBTS	diabetes,2
DFLT	default,10
DFN	define,11
DFND	defined,3 defend,1
DFNTN	definition,5
DFNTNS	definitions,3
DFRNS	difference,9
DFRNT	different,9
DFRNTL	differently,1
DGRM	diagram,1
DGT	digit,1
DGTL	digital,1
DKD	decode,3
DKLR	declare,4
DKLRTV	declarative,1
DKMNT	document,9
DKMNTN	documentation,2
DKR	docker,2
DKS	docs,6
DKT	dictate,4 deduct,1
DKTD	dedicated,1
DKTN	dictation,4 education,1 eduction,1
DKTR	doctor,10 dictator,1
DKTV	deductive,1
DKTVL	deductively,1
DKTVT	deactivate,2
DLD	delayed,1
DLGT	delegate,4
DLGTR	delegator,11
DLKT	dialect,1
DLN	deadline,10
DLNG	dialing,1
DLR	dollar,9 dealer,2
DLT	delete,24
DLTD	deleted,10
DLVR	deliver,30 delivery,11
DLVRD	delivered,1
DMB	dumb,8
DMBL	dumbbell,3
DMBR	dumber,1
DMN	admin,44 domain,17 demon,2 daemon,1
DMNS	domains,1
DMNTD	dominated,1
DMP	dump,3
DMSN	admission,1
DMSTK	domestic,1
DMT	admit,6
DN	done,16
DNG	dengue,8 doing,4 dong,2 adding,1 dining,1 dying,1
DNGRSL	dangerously,1
